gebeurtenis,titel,verhaal
engelandvaarder,Engelandvaarders,"Engelandvaarder is in Nederland de erenaam voor alle mannen en vrouwen die tijdens de Tweede Wereldoorlog (1939-1945), na de capitulatie van de Nederlandse strijdkrachten op 15 mei 1940 en vóór de geallieerde invasie in Normandië op 6 juni 1944 (D-Day), uit bezet gebied wisten te ontsnappen met de bedoeling zich in Engeland of ander geallieerd gebied bij de geallieerde strijdkrachten aan te sluiten om actief aan de strijd tegen de vijand (Duitsland, Italië, Japan) deel te nemen."
kemna,KZ Kemna,"KZ Kemna werd in juli 1933 in een Putzwoll fabriek geopend en zou t/m 19 januari 1934 blijven draaien. Opmerkelijk om te vertellen is dat de SA bewakers en gevangenen elkaar persoonlijk gekend hebben, aangezien er geen bewakers van buiten het district zijn geselecteerd voor KZ Kemna. In dit kamp werden vooral communisten opgesloten."
bombardementNoord,Het bombardement op Amsterdam Noord,De geallieerde bombardementen op Amsterdam-Noord vonden plaats in juli 1943 gedurende de Tweede Wereldoorlog. Ze waren gericht op de Fokker vliegtuigfabrieken te Amsterdam die waren ingeschakeld bij de Duitse oorlogsindustrie en kostten meer dan 200 mensen het leven.
soesterberg,De executie op vliegbasis Soesterberg,Op 19 november werden 33 Verzetsstrijders geëxecuteerd op de schietbaan van de toenmalige vliegbasis Soesterberg
sachsenhausen,Concentratiekamp Sachsenhausen,"Sachsenhausen was tijdens de Tweede Wereldoorlog een concentratiekamp in nazi-Duitsland. Het kamp lag 35 kilometer van Berlijn en werd in 1936gebouwd door gevangenen. Het kamp lag in de wijk Sandhausen (tegenwoordig Sachsenhausen, net als het kamp zelf) in de stad Oranienburg."
buchenwald,Concentratiekamp Buchenwald,"Buchenwald was tijdens de Tweede Wereldoorlog een concentratiekamp in nazi-Duitsland in een bosrijke omgeving nabij de stad Weimar. Het bijna volledig van de buitenwereld afgesloten kamp werd in 1937 aangelegd door SS'ers en gevangenen. Buchenwald werd op 11 april 1945 bevrijd door de zesde pantserdivisie van het derde Amerikaanse leger. In eerste instantie heette het kamp Konzentrationslager Ettersberg naar de locatie, maar werd al snel omgedoopt naar Konzentrationslager Buchenwald/Post Weimar op voorspraak van de cultuurcommissie van Weimar."
meidagen,De meidagen van 1940,"De Duitse aanval op Nederland in de meidagen van 1940 begon op 10 mei en betekende voor Nederland het begin van de Tweede Wereldoorlog. Duitsland viel gelijktijdig ook Luxemburg en België binnen als onderdeel van Fall Gelb. Op 14 mei eisten de Duitsers de overgave van Rotterdam; de stad werd daarop overgegeven, maar werd toch gebombardeerd. Na dit bombardement besloot het Nederlandse leger te capituleren. Deze capitulatie vond plaats op de nacht van woensdag 15 mei in het dorpje Rijsoord (gemeente Ridderkerk, gelegen ten zuiden van Rotterdam) in een school die dienst had gedaan als hoofdkwartier van generaal Kurt Student, bevelhebber over het Luftlandekorps. Tegenwoordig is de school een museum."
dwangarbeid,Dwangarbeid in de Tweede Wereldoorlog,Tijdens de Tweede Wereldoorlog werden in Duitsland op grote schaal burgers uit bezette gebieden tot dwangarbeid gedwongen. Via de Arbeitseinsatz werden mensen gedwongen ingezet om de productie in Duitsland in landbouw en industrie op peil te houden toen een groot deel van de mannelijke bevolking van Duitsland werd ingezet als militair.
oranjehotel,Het Oranjehotel,Het Oranjehotel was de bijnaam van de Deutsches Untersuchungs- und Strafgefängnis in het huis van bewaring in Scheveningen gedurende de Tweede Wereldoorlog. De schertsende naam verwees naar het destijds verderop gelegen Oranje Hotel aan de Scheveningse kust[1]. Van 1919 tot 1940 dienden de cellenbarakken van de Scheveningse gevangenis als huis van bewaring voor kleine criminelen. Na de Duitse inval van 10 mei 1940 werden er Duitse krijgsgevangenen opgesloten. Na de capitulatie van Nederland namen de Duitsers de gevangenis over.
februaristaking,De Februaristaking,"De Februaristaking was een staking op 25 en 26 februari 1941 die begon in Amsterdam en zich uitbreidde naar de Zaanstreek, Haarlem, Velsen, Hilversum en de stad Utrecht en directe omgeving. Het was de eerste grootschalige verzetsactie tegen de Duitse bezetter in Nederland. De staking was het enige massale en openlijke protest tegen de Jodenvervolging in heel bezet Europa."
austerlitz,De executie bij Austerlitz,Op vrijdagochtend 16 oktober 1942 werden vijftien mannen in twee groepen geëxecuteerd en begraven nabij Austerlitz. De executie was bedoeld als vergelding voor een serie sabotageacties die waren gericht tegen Duitse of Duitsgezinde instellingen.
brandenburg,Gevangenis Brandenburg,"De nazi's gebruikten het complex Brandenburg vanaf 1933 om 'gevaarlijke elementen' in op te sluiten. De gevangenis populatie bestond voornamelijk uit criminelen, politieke gevangenen, dienstontlopers en krijgsgevangenen. In 1940 werd er een executie ruimte (zie foto) ingericht, waar in de periode van augustus 1940 tot april 1945 1722 gevangenen werden geëxecuteerd. 652 andere gevangenen werden geveld door ziekten en 6 pleegden zelfmoord. Op 27 april 1945 werd de gevangenis ingenomen door het Rode Leger"
westerbork,Kamp Westerbork,"Kamp Westerbork (officieel: Polizeiliches Judendurchgangslager Westerbork) was een doorgangskamp tijdens de Tweede Wereldoorlog in de voormalige gemeente Westerbork in Drenthe. Het kamp was een voorportaal waarvandaan 107.000 in Nederland wonende Joden, alsmede 245 Sintien Roma per trein werden gedeporteerd naar concentratie- en vernietigingskampen in Duitsland, Polen en Tsjechië."
aanslagRauter,De aanslag op Hanns Albin Rauter,"In de nacht van 6 op 7 maart 1945 raakte de SS-officier Hanns Albin Rauter, de nazi-Duitse leider van de politie in Nederland, bij de Woeste Hoeve op de oostelijke Veluwe zwaargewond bij een toevallige aanslag. Op 8 maart 1945 executeerden de Duitse bezetters als wraak 117 gevangenen bij de plaats van de aanslag.
Onder hen bevonden zich: 
Hans Schippers, hoofd expeditie van het Het Parool.
Theo van Gogh, Nederlandse student economie en Verzetsstrijder.
Edward Voûte, de burgemeester van Amsterdam, werd door Willy Lages in een brief van de dood van de 53 Amsterdammers op de hoogte gesteld."
tuchthuis,Tuchthuizen in de Tweede Wereldoorlog,"Nederlanders die gedurende de oorlog worden veroordeeld tot een gevangenisstraf van drie maanden of langer komen in tuchthuizen te zitten, vaak in Duitsland. In deze tuchthuizen zitten mensen die zijn veroordeeld voor ‘economische delicten’. Zij behoren tot de gevangenencategorie ‘politieke gevangenen’. Ongeveer 7500 niet-Joodse gevangenen uit Nederland worden tijdens de oorlog opgesloten in tuchthuizen."
schietpartijDam,De schietpartij op de Dam,"Op 7 mei 1945, twee dagen na de capitulatiebespreking in Wageningen, werd de bevrijding gevierd op de Dam in Amsterdam toen rond drie uur 's middags plotseling schoten werden gelost door Duitse militairen vanaf het balkon van De Groote Club, op de hoek met de Kalverstraat. Hierbij vielen enkele tientallen doden en meer dan 100 gewonden."
geuzenverzet,Het Geuzenverzet,De Geuzen of het Geuzenverzet vormden een verzetsgroep in de Tweede Wereldoorlog. De groep ontstond al in mei 1940 onder leiding van de Schiedammer Bernard IJzerdraat.